memberID,rootAccount,ownerID
132fcd53-0e4b-8d08-e063-8d1f19ac3082,A60000406,132fcd53-2b97-8d08-e063-8d1f19ac3082
03e1b00d-65a3-ef89-e063-8d1f19ac1f78,540000707,03e1b057-1e12-ef89-e063-8d1f19ac1f78
03e1b025-aaf3-ef89-e063-8d1f19ac1f78,540000805,03e1b057-0fa1-ef89-e063-8d1f19ac1f78
0e9b07f3-3e47-5dc8-e063-8d1f19ac78cb,540009013,0e9b07f3-3e49-5dc8-e063-8d1f19ac78cb
072410fe-d694-1e65-e063-8e1f19ac8d8c,540009016,072410fe-d696-1e65-e063-8e1f19ac8d8c
132fcd53-1046-8d08-e063-8d1f19ac3082,A60000303,132fcd53-2d92-8d08-e063-8d1f19ac3082
182156f4-b9cb-807e-e063-8d1f19ac1afe,A70000101,182156f4-c583-807e-e063-8d1f19ac1afe
03e1b00e-bf93-ef89-e063-8d1f19ac1f78,820000707,03e1b086-02c1-ef89-e063-8d1f19ac1f78
182156a9-05b8-807a-e063-8d1f19ac2f7c,A70000003,182156a9-1170-807a-e063-8d1f19ac2f7c
182156a9-2e58-807a-e063-8d1f19ac2f7c,A70000107,182156a9-3a10-807a-e063-8d1f19ac2f7c
03e1b00e-bcd4-ef89-e063-8d1f19ac1f78,540000406,03e1b057-1402-ef89-e063-8d1f19ac1f78
03e1b00e-6449-ef89-e063-8d1f19ac1f78,540000704,03e1b057-026e-ef89-e063-8d1f19ac1f78
03e1b00e-a2ad-ef89-e063-8d1f19ac1f78,820000509,03e1b085-ff08-ef89-e063-8d1f19ac1f78
0e8dfcb0-7b46-45ec-e063-8e1f19acedf0,960020108,0e8dfcb0-7b49-45ec-e063-8e1f19acedf0
132fcd53-162c-8d08-e063-8d1f19ac3082,A60000201,132fcd53-3378-8d08-e063-8d1f19ac3082
182156a8-c3d9-807a-e063-8d1f19ac2f7c,A70000008,182156a8-c9b5-807a-e063-8d1f19ac2f7c
182156a9-05c1-807a-e063-8d1f19ac2f7c,A70000103,182156a9-1179-807a-e063-8d1f19ac2f7c
03e1b00d-589f-ef89-e063-8d1f19ac1f78,540000809,03e1b057-1c09-ef89-e063-8d1f19ac1f78
03e1b049-29f2-ef89-e063-8d1f19ac1f78,540009010,03e1b0b9-449a-ef89-e063-8d1f19ac1f78
03e1b00e-bf90-ef89-e063-8d1f19ac1f78,820000507,03e1b086-02bd-ef89-e063-8d1f19ac1f78
03e1b011-54a3-ef89-e063-8d1f19ac1f78,960000708,03e1b096-c17d-ef89-e063-8d1f19ac1f78
132fcd53-1041-8d08-e063-8d1f19ac3082,A60000403,132fcd53-2d8d-8d08-e063-8d1f19ac3082
182156a9-05bb-807a-e063-8d1f19ac2f7c,A70000203,182156a9-1173-807a-e063-8d1f19ac2f7c
182156a9-05be-807a-e063-8d1f19ac2f7c,A70000303,182156a9-1176-807a-e063-8d1f19ac2f7c
182156f4-b9c3-807e-e063-8d1f19ac1afe,A70000401,182156f4-c57b-807e-e063-8d1f19ac1afe
