relative_path,file_size,modified_timestamp,duplicate_hash,planned_action,reason
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/loader.js.download,49299,2026-06-29T08:39:21.523365,15f9c7dcb6d3f3fd,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/passed.png,1019,2026-06-29T08:39:32.046172,4b0a4eedfa818df1,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/table.css,10441,2026-06-29T08:39:24.376855,bdfd284557089f41,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/testng-reports.css,5355,2026-06-29T08:39:17.916005,14b90a2415f8f32c,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/testng-reports.js.download,3612,2026-06-29T08:39:19.515862,88d2a0988765ed96,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/testng-reports1.css,7050,2026-06-29T08:39:17.032767,fb091a8a0c0ff41d,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/testng-reports2.js.download,3618,2026-06-29T08:39:33.170144,0cd0609bd983faf6,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/tooltip.css,1524,2026-06-29T08:39:22.442459,2cb6d99c8ba2262a,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 UE TestNG reports_files/util.css,12720,2026-06-29T08:39:23.349294,e9c9244f08810a75,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/collapseall.gif,157,2026-06-29T08:40:46.274655,beb0bcad17d652fa,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/failed.png,977,2026-06-29T08:40:47.298093,af41cabfe9d730d4,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/format.css,1293,2026-06-29T08:40:41.546011,e96f82f5743dccc9,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/jquery-3.6.0.min.js.download,89501,2026-06-29T08:40:35.248928,ff1523fb7389539c,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/jsapi,62428,2026-06-29T08:40:36.917221,369ae154eab37b7a,retain_in_new_structure,pre-rebuild inventory
up-coverage-metrics-kit/up-coverage-metrics-kit/Gitlab V2 Job Log/V3 Unite TestNG reports_files/jsapi_compiled_default_module.js.download,269363,2026-06-29T08:40:42.448902,7e7e72eecf6a4fb2,retain_in_new_structure,pre-rebuild inventory
